index,detect_ms,n_detections,scene_locked,battery_c
519,172.74,1,true,32.70
520,182.78,1,true,32.70
521,188.80,1,true,32.70
522,191.82,1,true,32.70
523,174.67,1,true,32.70
524,173.52,1,true,32.70
525,183.06,1,true,32.70
526,186.43,1,true,32.70
527,192.19,1,true,32.70
528,176.22,1,true,32.70
529,180.89,1,true,32.70
530,176.10,1,true,32.70
531,174.09,1,true,32.70
532,187.29,1,true,32.70
533,189.93,1,true,34.00
534,190.88,1,true,34.00
535,179.33,1,true,34.00
536,176.71,1,true,34.00
537,196.05,1,true,34.00
538,174.88,1,true,34.00
539,201.94,1,true,34.00
540,178.12,1,true,34.00
541,183.94,1,true,34.00
542,171.13,1,true,34.00
543,172.10,1,true,34.00
544,197.87,1,true,34.00
545,192.95,1,true,34.00
546,196.14,1,true,34.00
547,201.30,1,true,34.00
548,188.08,1,true,34.00
549,196.19,1,true,34.00
550,203.50,1,true,34.00
551,189.62,1,true,34.00
552,193.35,1,true,34.00
553,198.99,1,true,34.00
554,190.64,1,true,34.00
555,194.29,1,true,34.00
556,198.74,1,true,34.00
557,190.56,1,true,34.00
558,192.49,1,true,34.00
559,201.68,1,true,34.00
560,197.03,1,true,34.00
561,193.53,1,true,34.00
562,198.53,1,true,34.00
563,197.64,1,true,34.00
564,195.55,1,true,34.00
565,195.85,1,true,34.00
566,193.94,1,true,34.00
567,190.33,1,true,34.00
568,188.38,1,true,34.00
569,185.43,1,true,34.00
570,200.18,1,true,34.00
571,195.56,1,true,34.00
572,198.66,1,true,34.00
573,196.69,1,true,34.00
574,196.85,1,true,34.00
575,197.70,1,true,34.00
576,192.70,1,true,34.00
577,196.22,1,true,34.00
578,194.59,1,true,34.00
579,194.56,1,true,34.00
580,183.48,1,true,34.00
581,192.87,1,true,34.00
582,197.49,1,true,34.00
583,189.45,1,true,34.00
584,195.82,1,true,34.00
585,206.57,1,true,34.00
586,190.76,1,true,34.00
587,190.38,1,true,34.00
588,190.33,1,true,34.00
589,188.31,1,true,34.00
590,196.72,1,true,34.00
591,198.47,1,true,34.00
592,188.00,1,true,34.00
593,194.38,1,true,34.00
594,195.34,1,true,34.00
595,182.59,1,true,34.00
596,189.17,1,true,34.00
597,189.76,1,true,34.00
598,196.89,1,true,34.00
599,196.41,1,true,34.00
600,189.22,1,true,34.00
601,192.73,1,true,34.00
602,183.57,1,true,34.00
603,196.72,1,true,34.00
604,185.21,1,true,34.00
605,193.56,1,true,34.00
606,187.91,1,true,34.00
607,192.56,1,true,34.00
608,199.02,1,true,34.00
609,178.59,1,true,34.00
610,185.44,1,true,34.00
611,200.98,1,true,34.00
612,205.62,1,true,34.00
613,197.17,1,true,34.00
614,215.23,1,true,34.00
615,202.55,1,true,34.00
616,207.11,1,true,34.00
617,200.33,1,true,34.00
618,194.90,1,true,34.00
619,215.07,1,true,34.00
620,198.28,1,true,34.00
621,202.97,1,true,34.00
622,201.95,1,true,34.00
623,202.69,1,true,34.00
624,190.40,1,true,34.00
625,202.48,1,true,34.00
626,198.13,1,true,34.00
627,188.40,1,true,34.00
628,215.54,1,true,34.00
629,209.57,1,true,34.00
630,200.12,1,true,34.00
631,195.27,1,true,34.00
632,202.40,1,true,34.00
633,210.44,1,true,34.00
634,210.48,1,true,34.00
635,218.97,1,true,34.00
636,209.39,1,true,34.00
637,215.72,1,true,34.00
638,195.37,1,true,34.00
639,206.08,1,true,34.00
640,208.00,1,true,34.00
641,203.67,1,true,34.00
642,208.49,1,true,34.00
643,214.27,1,true,34.00
644,206.50,1,true,34.00
645,204.76,1,true,34.00
646,207.53,1,true,34.00
647,206.86,1,true,34.00
648,210.08,1,true,34.00
649,213.38,1,true,34.00
650,207.70,1,true,34.00
651,184.46,1,true,34.00
652,204.76,1,true,34.00
653,207.47,1,true,34.00
654,205.14,1,true,34.00
655,199.13,1,true,34.00
656,207.93,1,true,34.00
657,214.91,1,true,34.00
658,203.14,1,true,34.00
659,212.18,1,true,34.00
660,207.14,1,true,34.00
661,218.95,1,true,34.00
662,186.35,1,true,34.00
663,216.12,1,true,34.00
664,203.82,1,true,34.00
665,209.21,1,true,34.00
666,192.55,1,true,34.00
667,182.54,1,true,34.00
668,177.43,1,true,34.00
669,180.82,1,true,34.00
670,189.67,1,true,34.00
671,208.04,1,true,34.00
672,196.56,1,true,34.00
673,212.05,1,true,34.00
674,209.34,1,true,34.00
675,212.28,1,true,34.00
676,194.41,1,true,34.00
677,200.62,1,true,34.00
678,214.89,1,true,34.00
679,195.60,1,true,34.00
680,217.75,1,true,34.00
681,201.09,1,true,34.00
682,222.45,1,true,34.00
683,189.00,1,true,34.00
684,196.40,1,true,34.00
685,215.58,1,true,34.00
686,218.39,1,true,34.00
687,214.11,1,true,34.00
688,229.14,1,true,34.00
689,235.99,1,true,34.00
690,223.34,1,true,34.00
691,233.56,1,true,34.00
692,231.05,1,true,34.00
693,214.60,0,true,34.00
694,229.92,0,true,34.00
695,212.44,0,true,34.00
696,226.51,0,true,34.00
697,218.80,0,true,34.00
698,207.36,0,false,34.00
699,231.44,1,false,34.00
700,225.56,1,false,34.00
701,219.40,1,false,34.00
702,243.03,1,false,34.00
703,212.10,1,false,34.00
704,216.64,1,false,34.00
705,235.07,1,false,34.00
706,228.03,1,false,34.00
707,222.39,1,false,34.00
708,224.59,1,false,34.00
709,221.98,1,false,34.00
710,236.05,1,false,34.00
711,213.24,1,false,34.00
712,219.75,1,false,34.00
713,231.62,1,false,34.00
714,201.97,1,false,34.00
715,228.15,1,false,34.00
716,222.49,1,false,34.00
717,225.26,1,false,34.00
718,218.57,1,false,34.00
719,218.40,1,true,34.00
720,225.88,1,true,34.00
721,227.42,1,true,34.00
722,226.03,1,true,34.00
